Participant,Age,Gender,hand,PorsuitRotor,SimpleRT,dailymouse,Group
1,18,1,right,0.82395,391.6779661,5,Young
2,19,1,mix,0.664125,318.559322,1,Young
4,19,1,right,0.776,304.6610169,5,Young
5,19,1,right,0.8312,356.8644068,1,Young
6,19,1,right,0.916225,306.4310345,1,Young
7,18,2,right,0.72925,345.1403509,1,Young
8,19,1,mix,0.84545,346.4827586,1,Young
9,19,2,right,0.864625,334.7966102,1,Young
10,19,2,right,0.8255,348.4067797,1,Young
11,21,1,right,0.738075,393.1754386,1,Young
12,19,2,mix,0.8817,374.3684211,1,Young
14,19,2,right,0.8933,437.5178571,4,Young
15,18,1,right,0.61305,398.4137931,1,Young
16,19,1,right,0.78815,315.2105263,1,Young
17,18,1,right,0.6126,495.9122807,4,Young
18,18,1,mix,0.9379,380.1525424,2,Young
19,18,1,right,0.7015,669.5762712,2,Young
20,19,1,right,0.7858,360.7931034,4,Young
21,20,1,right,0.823575,369.9137931,5,Young
22,20,1,right,0.86905,355.7586207,1,Young
23,19,1,right,0.708075,466.7758621,5,Young
24,20,1,right,0.8161,412.9830508,1,Young
25,18,1,right,0.68625,336.3220339,1,Young
26,20,1,right,0.840175,517.8983051,1,Young
27,20,1,right,0.578025,336.1016949,1,Young
28,18,1,right,0.8208,489.3965517,2,Young
29,18,1,mix,0.82905,343.3793103,4,Young
30,18,1,mix,0.608625,414.754386,5,Young
31,19,2,right,0.678475,464.5517241,4,Young
32,20,1,right,0.841425,303.9310345,1,Young
33,18,2,right,0.94155,307.3965517,5,Young
34,21,2,right,0.747125,335.0689655,4,Young
35,18,1,right,0.57935,320.8103448,1,Young
36,21,1,right,0.843525,305.8596491,1,Young
37,20,1,right,0.791675,404.6101695,1,Young
38,20,1,right,0.60715,398.7719298,1,Young
39,20,1,right,0.80065,382.1034483,1,Young
40,21,2,right,0.85515,329.5438596,3,Young
41,18,1,right,0.888575,316.1206897,1,Young
42,18,1,right,0.5639,326.362069,3,Young
43,22,1,right,0.77245,391.6440678,1,Young
44,18,1,right,0.687475,318.4915254,1,Young
45,19,1,mix,0.72335,382.5789474,4,Young
46,20,1,mix,0.765175,376.0701754,1,Young
47,20,1,right,0.80545,361.5932203,1,Young
48,20,1,right,0.8813,317.4576271,5,Young
49,18,2,right,0.77645,324.0169492,4,Young
50,19,2,right,0.874775,331.6610169,1,Young
51,18,1,right,0.7702,553.8448276,4,Young
52,20,1,right,0.73935,345.8813559,1,Young
53,18,1,right,0.91445,410.3275862,1,Young
54,20,2,right,0.7166,441.0526316,1,Young
55,18,1,right,0.74175,414.7931034,1,Young
56,18,1,right,0.866125,345.4745763,1,Young
101,63,2,right,0.219275,372.9824561,1,Older
102,43,1,right,0.36305,360.7894737,5,Older
103,60,2,right,0.088875,445.6,1,Older
104,67,1,right,0.01595,452.8421053,1,Older
105,55,2,right,0.01015,391.8474576,1,Older
106,54,2,right,0.294475,480.5892857,1,Older
107,59,1,right,0.23805,315.6101695,1,Older
108,52,2,right,0.192225,348.1754386,1,Older
109,60,2,right,0.0906,474.8490566,1,Older
110,58,1,right,0.512275,455.9827586,1,Older
111,54,2,right,0.5502,305.3333333,1,Older
112,68,1,right,0.685675,597.0689655,1,Older
113,58,2,right,0.104325,442.2280702,1,Older
114,45,2,right,0.11225,330.0344828,1,Older
115,54,1,right,0.086225,327.9824561,1,Older
116,64,1,right,0.201975,473.7586207,1,Older
117,61,1,right,0.74095,345.4385965,1,Older
118,54,2,right,0.619875,384.8245614,1,Older
119,54,2,right,0.112475,545.0689655,1,Older
120,48,2,right,0.1125,748.3965517,1,Older
122,55,2,right,0.27895,488.9491525,1,Older
123,55,2,right,0.061025,342.6551724,1,Older
124,40,1,right,0.305025,371.2931034,3,Older
125,43,2,right,0.487,329.8474576,4,Older
127,61,2,right,0.0974,473,1,Older
128,61,1,right,0.2635,345.8983051,1,Older
129,54,2,right,0.564,406.8644068,1,Older
130,61,2,right,0.46115,371.2105263,1,Older
131,52,2,right,0.055725,487.0338983,5,Older
132,46,2,right,0.4294,391.9491525,1,Older
133,52,2,right,0.109925,398.6842105,1,Older
134,48,2,right,0.19025,321.2280702,1,Older
135,67,1,right,0.2248,615.3728814,4,Older
136,68,2,right,0.240825,864.1186441,2,Older
